,Job title,Company name,Location,Job type,Exp level,Exp years,Skills
0,Financial Analysis,Care Services EG -,"Abbassia, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Accounting/Finance,Analyst/Research,Accounting,Financial Analysis,CMA,Finance,Analysis,Planning"
1,Vulnerability Analysis & Mapping Officer (Economic/Policy Analyst),World Food Program - Other locations -,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"Project/Program Management,Engineering - Telecom/Technology,information technology (it),computer science,microsoft office,networks,security,english,analysis"
2,Financial Analysis & Planning Manager,Kinetik People -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Operations/Management,Analyst/Research,Financial Analysis,Finance,Accounting,Financial Management,Microsoft Office,Commerce,Microsoft Excel"
3,Financial Planning & Analysis Lead,Novartis ÖSterreich -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Operations/Management,Analyst/Research,Finance,Accounting,Financial Analysis,Planning,Financial Management,Financial Planning,Management"
4,Analysis and Reporting Manager,Antal International - Egypt -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Operations/Management,Analyst/Research,Finance,Accounting,Financial Analysis,Financial Management,Reporting,Microsoft Office,Financial Reporting"
5,"Senior Analyst,Financial Planning and Analysis","S. C. Johnson & Son, Inc. -","Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Business Development,Analyst/Research,Finance,Accounting,Financial Analysis,Commerce,Financial Management,Analysis,Financial Planning"
6,Financial Planning And Analysis Supervisor,Confidential -,"Mohandessin, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Accounting/Finance,Analyst/Research,Accounting,Analysis,ERP,CMA,Finance,Financial Management,Financial Analysis,CPA"
7,data analysis,Care Services EG -,"Abbassia, Cairo, Egypt ",Full Time,Entry Level,2 - 4 Yrs of Exp,"IT/Software Development,Analyst/Research,Analysis,Data Analysis,Information Technology (IT),Computer Science"
8,Financial Planning & Analysis Assistant Manager,Network International -Egypt -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,10 - 11 Yrs of Exp,"Accounting/Finance,Banking,Financial Analysis,Accounting,CMA,Banking,Financial Management,Reporting,Planning,Analysis"
9,Senior Financial Planning and Analysis (FP&A) Specialist,ARPUPLUS -,"Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Analyst/Research,Accounting,Communication skills,Financial,Financial Analysis,Financial Management,CFA,CMA,Analysis"
10,business analysis,B-Solution -,"6th of October, Giza, Egypt ",Full Time,Senior Management,1 - 20 Yrs of Exp,"Accounting/Finance,IT/Software Development,Analyst/Research,Analysis,Business Administration,Business Analysis,Commercial,Communication,Data,Information Technology (IT)"
11,Senior Financial Planning & Analysis,Confidential -,"Mohandessin, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Accounting/Finance,Finance,Financial Analysis,SAP,ERP,CMA,CFA,Accounting,Microsoft Excel,Business Administration"
12,Budgeting & Financial Analysis Manager,Confidential -,"Gharbia, Egypt ",Full Time,Manager,8 - 10 Yrs of Exp,"Accounting/Finance,Analyst/Research,analytical,Budget,business,Finance,Financial Analysis,Planning,Financial Management,Financial"
13,Financial analysis accountant and balancers,Royal Investment -,"6th of October, Giza, Egypt ",Full Time,Senior Management,5 - 7 Yrs of Exp,"Accounting/Finance,Financial Analysis,Financial Management,Investment"
14,Associate Manager - Financial Planning & Analysis,"S. C. Johnson & Son, Inc. -","Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"Project/Program Management,Engineering - Telecom/Technology,Project Management,Marketing,PMP,Information Technology (IT),Computer Science,Engineering,Microsoft Office"
15,Financial Analysis,Care Services EG -,"Abbassia, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Accounting/Finance,Analyst/Research,Accounting,Financial Analysis,CMA,Finance,Analysis,Planning"
16,Vulnerability Analysis & Mapping Officer (Economic/Policy Analyst),World Food Program - Other locations -,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"Project/Program Management,Engineering - Telecom/Technology,information technology (it),computer science,microsoft office,networks,security,english,analysis"
17,Financial Analysis & Planning Manager,Kinetik People -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Operations/Management,Analyst/Research,Financial Analysis,Finance,Accounting,Financial Management,Microsoft Office,Commerce,Microsoft Excel"
18,Financial Planning & Analysis Lead,Novartis ÖSterreich -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Operations/Management,Analyst/Research,Finance,Accounting,Financial Analysis,Planning,Financial Management,Financial Planning,Management"
19,Analysis and Reporting Manager,Antal International - Egypt -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Operations/Management,Analyst/Research,Finance,Accounting,Financial Analysis,Financial Management,Reporting,Microsoft Office,Financial Reporting"
20,"Senior Analyst,Financial Planning and Analysis","S. C. Johnson & Son, Inc. -","Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Business Development,Analyst/Research,Finance,Accounting,Financial Analysis,Commerce,Financial Management,Analysis,Financial Planning"
21,Financial Planning And Analysis Supervisor,Confidential -,"Mohandessin, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Accounting/Finance,Analyst/Research,Accounting,Analysis,ERP,CMA,Finance,Financial Management,Financial Analysis,CPA"
22,data analysis,Care Services EG -,"Abbassia, Cairo, Egypt ",Full Time,Entry Level,2 - 4 Yrs of Exp,"IT/Software Development,Analyst/Research,Analysis,Data Analysis,Information Technology (IT),Computer Science"
23,Financial Planning & Analysis Assistant Manager,Network International -Egypt -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,10 - 11 Yrs of Exp,"Accounting/Finance,Banking,Financial Analysis,Accounting,CMA,Banking,Financial Management,Reporting,Planning,Analysis"
24,Senior Financial Planning and Analysis (FP&A) Specialist,ARPUPLUS -,"Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Analyst/Research,Accounting,Communication skills,Financial,Financial Analysis,Financial Management,CFA,CMA,Analysis"
25,business analysis,B-Solution -,"6th of October, Giza, Egypt ",Full Time,Senior Management,1 - 20 Yrs of Exp,"Accounting/Finance,IT/Software Development,Analyst/Research,Analysis,Business Administration,Business Analysis,Commercial,Communication,Data,Information Technology (IT)"
26,Senior Financial Planning & Analysis,Confidential -,"Mohandessin, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Accounting/Finance,Finance,Financial Analysis,SAP,ERP,CMA,CFA,Accounting,Microsoft Excel,Business Administration"
27,Budgeting & Financial Analysis Manager,Confidential -,"Gharbia, Egypt ",Full Time,Manager,8 - 10 Yrs of Exp,"Accounting/Finance,Analyst/Research,analytical,Budget,business,Finance,Financial Analysis,Planning,Financial Management,Financial"
28,Financial analysis accountant and balancers,Royal Investment -,"6th of October, Giza, Egypt ",Full Time,Senior Management,5 - 7 Yrs of Exp,"Accounting/Finance,Financial Analysis,Financial Management,Investment"
29,Associate Manager - Financial Planning & Analysis,"S. C. Johnson & Son, Inc. -","Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"Project/Program Management,Engineering - Telecom/Technology,Project Management,Marketing,PMP,Information Technology (IT),Computer Science,Engineering,Microsoft Office"
30,Sales support analysis,Fine Hygienic Holding -,"6th of October, Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Business Development,Sales/Retail,CRM,sales skills,ERP,MS Office,Communication"
31,Marketing Research And Analysis,Selah ElTelmeez For Publishing & printing -,"Obour City, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Marketing/PR/Advertising,Analyst/Research,Market Research,Marketing,Communication skills,Analysis,Microsoft Office,Web Analytics,E-Marketing"
32,Senior Financial Planning and Analysis (FP&A),Spinneys Egypt -,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,"Accounting/Finance,Financial Planning,Budgeting,Financial Analysis"
33,Treasury Manager,MTS Logistics -,"Alexandria, Egypt ",Full Time,Manager,4 - 5 Yrs of Exp,"Accounting/Finance,Financial Analysis,Forecasting,Finance,Financial,Management,Cash Flow,Treasury,Treasury Management"
34,Financial Analyst,Target Recruitment  & HR Solutions  -,"Alexandria, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Analyst/Research,accountant,Accounting,CMA,Budgeting,Commerce,Analysis,Finance,English"
35,Accounts Receivable Accountant (A/R Accountant),ABCO Group  -,"Mansoura, Dakahlia, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Accounting/Finance,Banking,Account Receivable,Accounting,Communication,Communication skills,excel,ERP,Finance,Financial"
36,Financial Planning & Controlling Intern,Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt) -,"Alexandria, Egypt ",Internship,Entry Level,Accounting/Finance,"Accounting,Analysis,Commerce,English,Finance,excel,MS,business"
37,CFO,OTI ESTATE -,"Nasr City, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Accounting/Finance,Accounting,Financial,Financial Analysis,Software,Financial Management,Finance,Financial Statistics"
38,Quality Assurance Section Head,M&A Glass Processing Company  -,"6th of October, Giza, Egypt ",Full Time,Experienced,5 - 9 Yrs of Exp,"Manufacturing/Production,Quality,Analysis,Communication skills,Engineering,quality,Quality Assurance,Training,MS Office"
39,Finance Director,Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Senior Management,15+ Yrs of Exp,"males_only,Accounting/Finance,CPA,Accounting,Finance,Microsoft Office,Financial Management,Financial Analysis,Corporate Finance,Forecasting,MSc"
40,Chief Accountant,Decorative Glass And Arab Union Glass Group -,"Obour City, Cairo, Egypt ",Full Time,Manager,10 - 13 Yrs of Exp,"males_only,Accounting/Finance,Accounting,CMA,Commerce,ERP,Finance,Financial Analysis,Financial Management,IFRS"
41,Financial Analyst,Talaat Moustafa Group -,"Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Accounting/Finance,Analyst/Research,Accounting,CFA,Finance,Financial Analysis,Reporting,Planning,excel,Data Analysis"
42,Chief Financial Officer,Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Manager,15+ Yrs of Exp,"Accounting/Finance,CPA,Accounting,Finance,Microsoft Office,Financial Management,Financial Analysis,Corporate Finance,Forecasting,MSc"
43,Business Analyst,Egabi FSI -,"Sheraton, Cairo, Egypt ",Full Time,Experienced,2 - 6 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Business Analyst,Computer Science,Business Analysis,Information Technology (IT),English,Testing,Analysis"
44,Financial Auditor,Engosoft -,"Nasr City, Cairo, Egypt ",Part Time,Experienced,13 - 15 Yrs of Exp,"males_only,Accounting/Finance,Education/Teaching,Training/Instructor,Accounting,analytical,Auditing,Financial Auditing,Financial Analysis,Financial,Finance"
45,Data Engineer,UMX Studio -,"Dokki, Giza, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"IT/Software Development,Computer Engineering,Data Analysis,Java,Python,Software,Software Engineering,Software Development,SQL,Programming"
46,Business Analyst,Amasi -,"Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,"IT/Software Development,Analyst/Research,Analysis,business,Business Analysis,Technical Writing,Information Technology (IT),systems analysis"
47,"Financial Planning, Budgeting & Reporting Manager",Confidential -,"6th of October, Giza, Egypt ",Full Time,Manager,10+ Yrs of Exp,"Accounting/Finance,Operations/Management,Budgeting,Accounting,Finance,Financial Management,CFA,CMA,Financial Analysis,Accounting Software"
48,Financial Analyst Lead,Transmar International  -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,"Accounting/Finance,Analyst/Research,Financial Planning,Financial Analysis,feasibility study,pricing"
49,"Monitoring Assistant SC, L5",World Food Program - Other locations -,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"Sales/Retail,Engineering - Telecom/Technology,engineering,information technology (it),microsoft office,computer science,administration,management,english"
50,System Analyst,IT Pillars -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,business,Business Analysis,Analysis,Communication skills,Computer Science,Development,Software Development"
51,National_Financial Analyst | Real Estate | CFC,Al Futtaim Private Company LLC -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Analyst/Research,Sales/Retail,real estate,finance,financial analysis,accounting,sales,analysis,cma"
52,National_Financial Analyst | Real Estate | CFC,Dubai Festival City -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Analyst/Research,Sales/Retail,real estate,finance,financial analysis,accounting,sales,analysis,cma"
53,Implementation Consultant,Software House Solution  -,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"males_only,Accounting/Finance,IT/Software Development,Engineering - Telecom/Technology,Software,Computer Science,ERP,Implementation,Information Technology (IT),Consulting,business"
54,Senior Software Business Analysis,GET Group- Egypt -,"Cairo, Egypt ",Full Time,Experienced,4+ Yrs of Exp,"IT/Software Development,Information Technology (IT),Business Analysis,Computer Science,Software Development,UML,Software,BRD,SRS,analytical"
55,Senior GL & Treasury Accountant,Fawry Plus -,"Smart Village, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Accounting,Accounts Payable,Financial Analysis,Finance,Microsoft Office,English,Treasury,GL,Accounts"
56,"Entry Level Associate Examiner (Full-time, Remote)",Intaratalent -,"Alexandria, Egypt ",Full Time,Not specified,Accounting/Finance,"Medical/Healthcare,Sales/Retail,accounting,finance,microsoft office,sales,medical,administration,auditing"
57,"Senior Associate, Business Systems and Process Re-engineering",Flutterwave -,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"Quality,Engineering - Telecom/Technology,information technology (it),computer science,engineering,software development,project management,quality,analysis"
58,Head of Finance,Dubizzle MENA -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Operations/Management,C-Level Executive/GM/Director,Accounting,Finance,Financial Analysis,Financial Management,Microsoft Office,CPA,Commerce"
59,Data Analytics,DXC.technology -,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"Analyst/Research,Engineering - Telecom/Technology,Computer Science,Information Technology (IT),Data Analysis,Analysis,Data Analytics,Marketing,SQL"
60,Treasury Manager,Fawry for Banking Technology and Electronic Payments S.A.E -,"Smart Village, Giza, Egypt ",Full Time,Manager,8 - 12 Yrs of Exp,"Accounting/Finance,Treasury,Finance,CTP,Accounting,Financial Analysis"
61,Chief Accounting,Confidential -,"10th of Ramadan City, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"males_only,Accounting/Finance,Accounting,Financial,Financial Accounting,Financial Management,Financial Analysis"
62,Financial Analyst - Innoventures,Cultiv -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Accounting/Finance,Analyst/Research,Financial Analysis,Finance,Accounting,Analysis,Financial,Economics,Excel,Computer Skills"
63,Accounting Manager,Confidential -,"Mohandessin, Giza, Egypt ",Full Time,Manager,5 - 10 Yrs of Exp,"males_only,Accounting/Finance,Hospitality/Hotels/Food Services,Sales/Retail,accountant,Accounting Software,Finance,Financial Analysis,FMCG,Retail,Software"
64,Senior Financial Analyst,Synergy Markets -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,"Accounting/Finance,Banking,Analyst/Research,CFA,Finance,Financial Analysis,excel,Investment Banking,Financial Management,Accounting"
65,Senior Business Analyst,Coral Technology -,"Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Business Analysis,Healthcare,English,Software Requirements Specification,Business Requirement Document (BRD),System Requirements Specifications (SRS),Agile Software Development"
66,Growth Marketing Hacker,Future Group -,"Dokki, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Marketing/PR/Advertising,Analyst/Research,E-Marketing,Digital Marketing,Marketing,Growth,Funnels,Analysis"
67,Sales Manager,Naguib Selim -,"Cairo, Egypt ",Full Time,Manager,5 - 10 Yrs of Exp,"Marketing/PR/Advertising,Sales/Retail,Sales,Sales Target,sales skills,Analysis,Marketing"
68,Accountant,Talaat Moustafa Group -,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Accounting/Finance,Finance,Financial Management,Accounting,English,Financial Analysis,Microsoft Office,Financial Accounting"
69,Business Analyst Lead,Lumin -,"Sheikh Zayed, Giza, Egypt ",Full Time,Manager,7+ Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Agile,Analysis,business,Business Analysis,Computer Engineering,Computer Science,Information Technology (IT)"
70,Senior Cost Accountant,Confidential -,"10th of Ramadan City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"males_only,Accounting/Finance,Manufacturing/Production,Accounting,Finance,Financial Management,Financial Analysis,Cost Accountant,Manufacturing,Microsoft Office,SAP"
71,Software Business Analyst,Dexef -,"Quweisna, Monufya, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Business Analysis,Computer Science,Information Technology (IT),Software Engineering,Web Applications,Programming,Software Development"
72,Software Business Analyst (Mansoura),qTech.  -,"Mansoura, Dakahlia, Egypt ",Full Time,Experienced,1+ Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Software Analysis,Analysis,Software Development,Programming,Scripting,Software,Computer Science"
73,Business Analyst Specialist,Dawi Clinics -,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Business Development,IT/Software Development,Analyst/Research,Analysis,business,Business Analysis,Business Development,Project Management,Software Development,Software"
74,Senior Business Analyst,Erada -,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Business Development,Analyst/Research,Analysis,BI,Business Analysis,Business Development,business,Administration"
75,Data Analyst,Yassir -,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"Analyst/Research,Engineering - Telecom/Technology,Data Analysis,Analysis,Computer Science,Information Technology (IT),SQL,Microsoft Office,Microsoft Excel"
76,Senior Treasury Accountant,Simplex -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Administration,Banking,Accounting,Banking,Cash Flow,Cash Management,Finance,Financial,MS Office"
77,Senior Financial Manager,ARC Technologies -,"Nasr City, Cairo, Egypt ",Full Time,Manager,10 - 20 Yrs of Exp,"Accounting/Finance,Accounting,Communication skills,Finance,Financial Analysis,Financial Management,ERP"
78,AX Technical Consultant,Elabd Foods -,"Abu Rawash, Giza, Egypt ",Full Time,Experienced,1 - 4 Yrs of Exp,"Installation/Maintenance/Repair,IT/Software Development,Engineering - Telecom/Technology,IT,Computer Science,Consulting,Information Technology (IT),Software,Technical Support,Engineering"
79,AP Accountant,Target Recruitment  & HR Solutions  -,"Alexandria, Egypt ",Full Time,Entry Level,2 - 4 Yrs of Exp,"Accounting/Finance,Accounting,business,AP,English,Finance,Financial Analysis"
80,Senior Commercial Accountant,Fawry for Banking Technology and Electronic Payments S.A.E -,"6th of October, Giza, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Accounting/Finance,Financial Analysis,Accounting,Accounting Software,Communication,Finance,Financial Management"
81,Strategic Marketing Specialist,winsome -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Hospitality/Hotels/Food Services,Analysis,E-Marketing,Marketing"
82,Director of Finance,Confidential -,"Qanater Khairya, Qalubia, Egypt ",Full Time,Senior Management,15 - 20 Yrs of Exp,"Accounting/Finance,Finance,Accounting,CPA,CMA,Financial Analysis,Financial Management,FMCG"
83,Assistant Export Manager,Misr Elhegaz Group -,"Nozha, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Operations/Management,Marketing,french,strategic,Analysis,Export,Assistant"
84,Recruitment & OD Senior Specialist,Orientals for Urban Development -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"females_only,Human Resources,Recruitment,OD,Organization Development,Human Resources (HR),Job Analysis,Interview,Microsoft Office,Sourcing,Interviewing"
85,Finance Manager,Casual Dining Group -,"Cairo, Egypt ",Full Time,Senior Management,10 - 17 Yrs of Exp,"Accounting/Finance,Hospitality/Hotels/Food Services,Accounting,Finance,Financial Analysis,Financial Management"
86,Mechanical Engineer,Lasirena Group -,"Maadi, Cairo, Egypt ",Full Time,Experienced,7 - 9 Yrs of Exp,"males_only,Installation/Maintenance/Repair,Engineering - Mechanical/Electrical,Mechanical,Electrical Engineering,Engineering,Mechanical Engineering,Water Treatment,Maintenance,wastewater,Analysis"
87,Warehouse Specialist,Seoudi Supermarket -,"6th of October, Giza, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,"Administration,Logistics/Supply Chain,Logistics,Supply Chain,Warehousing,Warehouse,Analysis,excel"
88,Cost Accountant,INFERT -,"Ataqah, Suez, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"Accounting/Finance,Accounting,Cost,Cost Accountant,Finance,Financial Analysis,Cost Analyst"
89,Senior Application Support Engineer,Etisal EG -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"males_only,Installation/Maintenance/Repair,IT/Software Development,Engineering - Telecom/Technology,Computer Science,Customer Service,Customer Support,Design,Development,Information Technology (IT),SQL Server"
90,Sr. General Accountant,Outservingplus -,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,"Accounting/Finance,Accounting,CMA,Communication skills,CPA,excel,Finance,Financial,Financial Analysis,Financial Management"
91,Cost Accountant,MENA For Contracting & Trading -,"Alexandria, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Accounting/Finance,Cost Accounting,Construction,Financial Analysis,ERP,MS Excel,Real Estate,Finance,Accounting,analytical"
92,Cost Accountant,Growxcel -,"Dokki, Giza, Egypt ",Full Time,Experienced,6 - 8 Yrs of Exp,"Accounting/Finance,Manufacturing/Production,Strategy/Consulting,Cost,Cost Accounting,Finance,Financial Analysis,Food & Beverage,Medical,Financial Services"
93,Accountant internship,Enjaz Consultancy & Enterprise Management -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Human Resources,Marketing/PR/Advertising,Accounting,Finance,Financial Analysis,Financial Management,Microsoft Excel,Microsoft Office,Accountant"
94,Senior Accountant,RATPDev Mobility Cairo -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Administration,Banking,Accounting,Finance,Financial Analysis,Financial Management,Microsoft Office,Commerce,ERP"
95,Process Development Engineer,AKL Auto Feeding Industries -,"Talkha, Dakahlia, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Engineering - Mechanical/Electrical,Engineering - Other,English,Engineering,Mechanical Engineering,Mechanical,Six Sigma,MS Office,5S Lean Manufacturing Methodology,Lean Six Sigma"
96,Accounting Manager,Confidential -,"New Cairo, Cairo, Egypt ",Full Time,Manager,5 - 7 Yrs of Exp,"males_only,Accounting/Finance,Accounting,analytical,Financial,Finance,Financial Reporting,Financial Management,Financial Analysis,Management"
97,QA Engineer,egabi solutions -,"Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"IT/Software Development,Quality,Engineering - Telecom/Technology,Agile,API,Automation,Computer Science,Engineering,Information Technology (IT),JIRA"
98,Quality Assurance Specialist,ITS  -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"IT/Software Development,Quality,Engineering - Telecom/Technology,Agile,Analysis,Engineering,ISO,Management,Project Management,QA"
99,General Ledger Accountant,BDO Esnad -,"Maadi, Cairo, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Accounting/Finance,business,English,Financial Management,Finance,Financial Analysis,Financial,IFRS,SAP,ERP"
100,Biomedical Deputy Manager,Shifa Egypt -,"New Cairo, Cairo, Egypt ",Full Time,Manager,5 - 7 Yrs of Exp,"Administration,Engineering - Other,Biomedical,Biomedical Engineering,deputy manager,Engineering,Management,deputy,Communication,Analysis"
101,Private Equity Investment Analyst (Cairo),Softwareclub -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Business Development,Analyst/Research,finance,accounting,financial analysis,microsoft office,investment,research,investment banking"
102,English Content Writer,Casita -,"Dokki, Giza, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Writing/Editorial,Marketing/PR/Advertising,English Literature,Writing,Editing,Content Writing,Arabic,SEO,English,Linguistics"
103,Marketing Executive (Real Estate),CELESTE -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"Marketing/PR/Advertising,Analyst/Research,Sales/Retail,Communication skills,Communication,Real Estate,Marketing,Data Analysis,Market Research,Research"
104,Collection Officer,Jones Lang LaSalle Incorporated -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Administration,Customer Service/Support,Collection,Finance,Accounting,Commerce,Customer Service,Customer Care,Customer Support"
105,Collection Officer,"Jones Lang LaSalle IP, Inc -","Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Administration,Customer Service/Support,Collection,Finance,Accounting,Commerce,Customer Service,Customer Care,Customer Support"
106,Senior Treasury Accountant (Corporate Banking),alfanar -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,5 - 12 Yrs of Exp,"Accounting/Finance,Accounting,Banking,Finance,Financial Analysis,Analysis,Cash Flow Management,Loans,Tax,Portfolio Management"
107,RBG Business Finance Analyst,Mashreqbank PSC -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"IT/Software Development,Analyst/Research,finance,accounting,financial analysis,microsoft office,analysis,economics,banking"
108,Senior Business Analyst,BBI-Consultancy -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Analysis,business,Business Analysis,Information Technology (IT),Banking Sector"
109,Balance Sheet Analyst,Confidential -,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Accounting/Finance,Balance Sheet,Analysis,Financial Analysis,SAP"
110,Senior Solutions Consultant,BBI-Consultancy -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,"IT/Software Development,Analysis,Data,Experience,Software,Presales Engineering"
111,MIS Analyst,Mashreqbank PSC -,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"Analyst/Research,Engineering - Telecom/Technology,information technology (it),computer science,analysis,business analysis,mis,sales,automation"
112,"ETIC, Financial Reporting - Senior Associate",PwC Middle East -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Operations/Management,Analyst/Research,Finance,Accounting,Financial Analysis,Financial Management,Financial Reporting,SAP,English"
113,"ETIC, Financial Reporting - Senior Manager",PwC Middle East -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Operations/Management,Analyst/Research,Finance,Accounting,Financial Analysis,Financial Management,Financial Reporting,SAP,English"
114,Cost Accountant,Confidential -,"Alexandria, Egypt ",Full Time,Experienced,2 - 8 Yrs of Exp,"Accounting/Finance,Accounting,Cost Accounting,Cost Accountant,GAAP,Financial Analysis"
115,General Accountant Fluent in English,King's School The Crown -,"6th of October, Giza, Egypt ",Full Time,Experienced,1 - 5 Yrs of Exp,"Accounting/Finance,Accounting,Finance,Financial Analysis,Reporting"
116,Receivables Accountant,Freelancer -,"Sheraton, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Accounting/Finance,Accounts Receivable,ERP System,Accounting,Financial Analysis,Reporting"
