,Job title,Company name,Location,Job type,Exp level,Exp years,Skills
1060,Market Research Analyst,Kama Manufacturing -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Marketing/PR/Advertising,Analyst/Research,Research,E-Marketing,Market Research"
1061,Senior Mechanical Engineer,ISNAD TECHNOLOGY -,"6th of October, Giza, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"Engineering - Mechanical/Electrical,Mechanical Engineering,engineer"
1062,Front End Developer - Vue.js (Remote Work),Confidential -,"Cairo, Egypt ",Full Time,Entry Level,1 - 4 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,front-end,CSS,JavaScript,Sass,Web Development"
1063,Group ICT Infrastructure and Service Desk Section Head,Decorative Glass And Arab Union Glass Group -,"Obour City, Cairo, Egypt ",Full Time,Manager,10 - 12 Yrs of Exp,"males_only,IT/Software Development,Network Infrastructure,Network Administration,Network Engineering,Network Security"
1064,Mechanical Maintenance Engineer,packtec -,"6th of October, Giza, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"males_only,Installation/Maintenance/Repair,Manufacturing/Production,Engineering - Mechanical/Electrical,Maintenance,Mechanical Engineering,Engineering,Mechanical Maintenance,Mechanical,Maintenance Engineer"
1065,Production Engineer,Abou Seif Group -,"Obour City, Cairo, Egypt ",Full Time,Manager,5+ Yrs of Exp,"males_only,Manufacturing/Production,Engineering - Mechanical/Electrical,Engineering - Other,Engineering,Mechanical Engineering,Production engineer,Manufacturing,engineer,Production"
1066,Devops Engineer,"Telecom Systems Provider, LLC -","Maadi, Cairo, Egypt ",Full Time,Entry Level,0 - 3 Yrs of Exp,"IT/Software Development,firewalls,Fortinet Firewall,Network Security,Networking,Information Security"
1067,IT Systems Engineer,Grifols Egypt for Plasma Derivatives -,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Installation/Maintenance/Repair,IT/Software Development,Engineering - Telecom/Technology,CCNP,CCNA,Cisco CCNA"
1068,Merchant Acquisition,Aman -,"Maadi, Cairo, Egypt ",Full Time,Experienced,1+ Yrs of Exp,"Business Development,Marketing/PR/Advertising,Sales/Retail,Business Development,business,Development,Negotiation,Communication,Sales,Communication skills"
1069,Marketing Operations Executive,Orientals for Urban Development -,"Sheraton, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Marketing/PR/Advertising,Marketing,Market Research,Marketing Operations,Operations"
1070,Mechanical Engineering Freelance Saudi Arabia Experience,United Engineering company -,"Haram, Giza, Egypt ",Part Time,Experienced,7 - 12 Yrs of Exp,"Engineering - Mechanical/Electrical,Mechanical Engineering,AutoCAD,Engineering"
1071,Senior Trade Marketing Specialist (Outsourced Contract) - Smart Village,Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt) -,"Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,"Marketing/PR/Advertising,Trade marketing,marketing,business,Market Research,Social Media"
1072,MEP Procurement Manager,Elhazek Construction -,"New Cairo, Cairo, Egypt ",Full Time,Manager,13 - 15 Yrs of Exp,"Logistics/Supply Chain,Purchasing/Procurement,Engineering - Mechanical/Electrical,Logistics,Procurement,Engineering,Supply Chain,Purchasing,Electrical Engineering,Mechanical Engineering"
1073,Protection Engineer,AL MASHARIQ  -,"Cairo, Egypt ",Full Time,Experienced,8 - 10 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,Engineering - Other,Electrical Engineering,Electrical,Power,Medium Voltage,Engineering,protection relays,Protection"
1074,Design Engineer,MCV -,"Alsalihiyyah Aljadidah, Sharqia, Egypt ",Full Time,Entry Level,0 - 3 Yrs of Exp,"R&D/Science,Engineering - Mechanical/Electrical,Drawing,CAD,Design,Mechanical Engineering,Mechanical,Computer Skills"
1075,SAP Senior Consultant 1,Mansour Automotive -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"IT/Software Development,Engineering - Telecom/Technology,SAP,Information Technology (IT),Computer Science,ABAP,Software Engineering,ERP,Implementation"
1076,Senior Full Stack (.Net Developer) - Mansoura,qTech.  -,"Mansoura, Dakahlia, Egypt ",Full Time,Experienced,4+ Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,ASP.NET,Information Technology (IT),.NET,jQuery,Software Development,Computer Science,javaScript,C#"
1077,Full Stack (.Net Developer),qTech.  -,"Mansoura, Dakahlia, Egypt ",Full Time,Experienced,2+ Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,ASP.NET,Information Technology (IT),.NET,jQuery,Software Development,Computer Science,javaScript,C#"
1078,Claims Specialist,MEAHCO - Saudi German Health -,"Maadi, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Medical/Healthcare,Claims,Insurance,Medical,Health Insurance"
1079,Approval Specialist,MEAHCO - Saudi German Health -,"Maadi, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Medical/Healthcare,Medical,Approvals,Medical Insurance"
1080,Al- Mansour SAP Academy,Mansour Automotive -,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"Engineering - Telecom/Technology,abap,computer science,erp,engineering,sap,sap modules,software engineering"
1081,Senior Sales Real Estate Agent,Remax Five Stars -,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Sales/Retail,broker,Real Estate,Real Estate Agent,Sales Target,Sales,Negotiation"
1082,Chief Accountant,Talaat Moustafa Group -,"Dokki, Giza, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Accounting/Finance,Hospitality/Hotels/Food Services,CMA,IFRS,Accounting,SAP,MS Excel"
1083,Senior Accountant,Talaat Moustafa Group -,"Giza, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Accounting/Finance,Hospitality/Hotels/Food Services,ERP System,CMA,Accounting,SAP,IFRS,MS Excel,excel"
1084,Odoo ERP Sales Account Manager,Centione -,"Nasr City, Cairo, Egypt ",Full Time,Manager,3 - 5 Yrs of Exp,"IT/Software Development,Sales/Retail,Sales,ERP,Odoo,sales skills,Sales Target,Software Sales"
1085,Accounting Head,Chubb life Insurance -,"New Cairo, Cairo, Egypt ",Full Time,Manager,8 - 10 Yrs of Exp,"Accounting/Finance,Accounting,Finance"
1086,Procurement Director,Confidential -,"New Cairo, Cairo, Egypt ",Full Time,Manager,15 - 20 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Purchasing/Procurement,Engineering - Other,Logistics,Procurement,Purchasing,Supply Chain"
1087,Sales Director – Fintech,Dafa -,"Haram, Giza, Egypt ",Full Time,Senior Management,7 - 10 Yrs of Exp,"Operations/Management,Sales/Retail,B2B Sales,B2B,Communication,Finance,English,Management,Sales,sales skills"
1088,Corporate Sales Executive,COLORS -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2+ Yrs of Exp,"Business Development,Sales/Retail,Communication,Corporate,Customer Service,English,Sales Target,sales skills,Sales,negotiation skills"
1089,Xamarin Developer,FlairsTech -,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"IT/Software Development,Xamarin,Xamarin Forms,Software Development,Software Engineering,Mobile Development,Mobile Design,iOS,iOS Development,Web API"
1090,Operations Director,Venus International Free Zone  -,"Dkhaila, Alexandria, Egypt ",Full Time,Senior Management,10 - 20 Yrs of Exp,"Operations/Management,C-Level Executive/GM/Director,Director,operation,Operations"
1091,"GIS Logistics Associate SSA6, Regional Bureau Cairo",World Food Program - Other locations -,"Cairo, Egypt ",Full Time,Not specified,Logistics/Supply Chain,"Operations/Management,Sales/Retail,logistics,gis,ssc,transport,emissions"
1092,Retail Regional Manager - Delta,Fawry Plus -,"Sharqia, Egypt ",Full Time,Manager,2 - 4 Yrs of Exp,"Sales/Retail,Leadership,Sales Manager,Sales Target,sales skills,Sales,Regional Sales,Retail"
1093,Monitoring And Evaluation Officer,Kheir wa Baraka & New Woman Association  -,"Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Analyst/Research,M&E,MEAL,NGO,M&E Officer,MEAL Officer"
1094,Quality Control Specialist,Prifix -,"Bourj Alarab, Alexandria, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Quality,Quality Control,quality"
